subject;predicted_category;category_score;expected_type;predicted_priority;priority_score;expected_priority;summary;;;;;;;;;;;;;;;;;;;;;;
Account Disruption;account access issue;0.607;Incident;high priority;0.618;high;period? Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please;;;;;;;;;;;;;;;;;;;;;;
Query About Smart Home System Integration Features;general request;0.471;Request;medium priority;0.7;medium;for your smart home integration products? Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n;;;;;;;;;;;;;;;;;;;;;;
Inquiry Regarding Invoice Details;billing issue;0.759;Request;high priority;0.524;low;"""provide me with a refund. I am currently working on a new payment plan"; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan; and I am currently working on a new payment plan. I am currently working on a new payment plan;" and I am currently working on a new payment""";;;;;;;;;;
Question About Marketing Agency Software Compatibility;delivery issue;0.361;Problem;medium priority;0.502;medium;about the compatibility of your products with the specific needs of marketing agencies? Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\nI.com. Please contact us at support@n\;;;;;;;;;;;;;;;;;;;;;;
Feature Query;general request;0.802;Request;medium priority;0.565;high;"""reetings";"""";;;;;;;;;;;;;;;;;;;;;
System Interruptions;technical problem;0.854;Incident;medium priority;0.463;high;"""ooting the system";" and the installation of a new system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted a number of tests to determine the reliability of the system. We have also conducted""";;;;;;;;;;;;;;;;;;;;;
Connectivity Problems with Printer on MacBook Pro;technical problem;0.696;Incident;medium priority;0.505;medium;"""fix this issue";" we have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\nWe have installed the latest macOS 15 system update.\n\n""";;;;;;;;;;;;;;;;;;;;;
VPN Access Issue;technical problem;0.489;Incident;high priority;0.951;medium;and we are working to resolve the issue by restarting affected devices and resetting the router.;;;;;;;;;;;;;;;;;;;;;;
Immediate Help Needed: Technical Problem with Cloud SaaS Service;technical problem;0.85;Problem;high priority;0.648;medium;"""connect to the cloud.\n\nIn particular"; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular; I am experiencing a problem with the Cloud SaaS service.\n\nIn particular;" I am experiencing a""";;;;;;;;;
Inquiry for Detailed Information on Agency Offerings;general request;0.533;Request;medium priority;0.67;high;to me. Please note that I am not a member of the agency.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\nI would appreciate your help in making this possible.\n\;;;;;;;;;;;;;;;;;;;;;;
